"";"Starost";"Izobrazba";"Spol";"Leto";"Odstotki"
"247";"Starost 18-64";"Višješolska, visokošolska";"Moški";2015;5,7
"248";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2015;7,1
"249";"Starost 65+";"Osnovnošolska ali manj";"Moški";2015;26,9
"250";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2015;40,1
"251";"Starost 65+";"Srednješolska poklicna";"Moški";2015;12,5
"252";"Starost 65+";"Srednješolska poklicna";"Ženske";2015;15,9
"253";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2015;5,2
"254";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2015;4,9
"255";"Starost 65+";"Višješolska, visokošolska";"Moški";2015;1,7
"256";"Starost 65+";"Višješolska, visokošolska";"Ženske";2015;2,5
"257";"Starost 16+";"Osnovnošolska ali manj";"Moški";2016;24
"258";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2016;31,7
"259";"Starost 16+";"Srednješolska poklicna";"Moški";2016;17,3
"260";"Starost 16+";"Srednješolska poklicna";"Ženske";2016;20,1
"261";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2016;9,5
"262";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2016;10,3
"263";"Starost 16+";"Višješolska, visokošolska";"Moški";2016;3,6
"264";"Starost 16+";"Višješolska, visokošolska";"Ženske";2016;6,3
"265";"Starost 18+";"Osnovnošolska ali manj";"Moški";2016;25,6
"266";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2016;33
"267";"Starost 18+";"Srednješolska poklicna";"Moški";2016;17,3
"268";"Starost 18+";"Srednješolska poklicna";"Ženske";2016;20,2
"269";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2016;9,5
"270";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2016;10,3
"271";"Starost 18+";"Višješolska, visokošolska";"Moški";2016;3,6
"272";"Starost 18+";"Višješolska, visokošolska";"Ženske";2016;6,3
"273";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2016;25,6
"274";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2016;27
"275";"Starost 18-64";"Srednješolska poklicna";"Moški";2016;17,9
"276";"Starost 18-64";"Srednješolska poklicna";"Ženske";2016;20,4
"277";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2016;10,3
"278";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2016;10,9
"279";"Starost 18-64";"Višješolska, visokošolska";"Moški";2016;4,2
"280";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2016;7,1
"281";"Starost 65+";"Osnovnošolska ali manj";"Moški";2016;25,5
"282";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2016;39,5
"283";"Starost 65+";"Srednješolska poklicna";"Moški";2016;14,7
"284";"Starost 65+";"Srednješolska poklicna";"Ženske";2016;19,6
"285";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2016;4,6
"286";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2016;6,9
"287";"Starost 65+";"Višješolska, visokošolska";"Moški";2016;1,2
"288";"Starost 65+";"Višješolska, visokošolska";"Ženske";2016;1,1
"289";"Starost 16+";"Osnovnošolska ali manj";"Moški";2017;19,5
"290";"Starost 16+";"Osnovnošolska ali manj";"Ženske";2017;29,4
"291";"Starost 16+";"Srednješolska poklicna";"Moški";2017;15,5
"292";"Starost 16+";"Srednješolska poklicna";"Ženske";2017;18,5
"293";"Starost 16+";"Srednješolska strokovna, splošna";"Moški";2017;9,5
"294";"Starost 16+";"Srednješolska strokovna, splošna";"Ženske";2017;9,8
"295";"Starost 16+";"Višješolska, visokošolska";"Moški";2017;4,6
"296";"Starost 16+";"Višješolska, visokošolska";"Ženske";2017;6,1
"297";"Starost 18+";"Osnovnošolska ali manj";"Moški";2017;21,2
"298";"Starost 18+";"Osnovnošolska ali manj";"Ženske";2017;31,1
"299";"Starost 18+";"Srednješolska poklicna";"Moški";2017;15,5
"300";"Starost 18+";"Srednješolska poklicna";"Ženske";2017;18,5
"301";"Starost 18+";"Srednješolska strokovna, splošna";"Moški";2017;9,5
"302";"Starost 18+";"Srednješolska strokovna, splošna";"Ženske";2017;9,8
"303";"Starost 18+";"Višješolska, visokošolska";"Moški";2017;4,6
"304";"Starost 18+";"Višješolska, visokošolska";"Ženske";2017;6,1
"305";"Starost 18-64";"Osnovnošolska ali manj";"Moški";2017;19,9
"306";"Starost 18-64";"Osnovnošolska ali manj";"Ženske";2017;26,8
"307";"Starost 18-64";"Srednješolska poklicna";"Moški";2017;16,2
"308";"Starost 18-64";"Srednješolska poklicna";"Ženske";2017;17,8
"309";"Starost 18-64";"Srednješolska strokovna, splošna";"Moški";2017;10,5
"310";"Starost 18-64";"Srednješolska strokovna, splošna";"Ženske";2017;10,7
"311";"Starost 18-64";"Višješolska, visokošolska";"Moški";2017;5
"312";"Starost 18-64";"Višješolska, visokošolska";"Ženske";2017;6,8
"313";"Starost 65+";"Osnovnošolska ali manj";"Moški";2017;24,8
"314";"Starost 65+";"Osnovnošolska ali manj";"Ženske";2017;35,6
"315";"Starost 65+";"Srednješolska poklicna";"Moški";2017;12,5
"316";"Starost 65+";"Srednješolska poklicna";"Ženske";2017;20,5
"317";"Starost 65+";"Srednješolska strokovna, splošna";"Moški";2017;3,2
"318";"Starost 65+";"Srednješolska strokovna, splošna";"Ženske";2017;5,5
"319";"Starost 65+";"Višješolska, visokošolska";"Moški";2017;2,9
"320";"Starost 65+";"Višješolska, visokošolska";"Ženske";2017;2
